num,depar,altitud,long
1,Amazonas,-1.0197222,-71.9383333
2,Antioquia,7.0000000,-75.5000000
3,Arauca,7.0902778,-70.7616667
4,Atlántico,10.7500000,-75.0000000
5,Bolívar,9.0000000,-74.3333333
6,Boyacá,5.5000000,-72.5000000
7,Caldas,5.2500000,-75.5000000
8,Caquetá,1.0000000,-74.0000000
9,Casanare,5.5000000,-71.5000000
10,Cauca,2.5000000,-76.8333333
11,Cesar,9.3333333,-73.5000000
12,Chocó,6.0000000,-77.0000000
13,Córdoba,8.3333333,-75.6666667
14,Cundinamarca,5.0000000,-74.1666667
15,Guainía,2.5000000,-69.0000000
16,Guaviare,1.6894444,-72.8202778
