id,municipio,departamento,latitud,longitud
1,Leticia,Amazonas,-4.2152778,-69.9405556
2,Puerto Nariño,Amazonas,-3.7702778,-70.3830556
3,Abejorral,Antioquia,5.75,-75.4166667
4,Abriaquí,Antioquia,6.6666667,-76.0833333
5,Alejandria,Antioquia,6.3666667,-75.0833333
6,Amagá,Antioquia,6.05,-75.7
7,Amalfi,Antioquia,7,-74.9166667
8,Andes,Antioquia,5.5833333,-75.9166667
9,Angelópolis,Antioquia,6.1333333,-75.7
10,Angostura,Antioquia,6.8666667,-75.3333333
11,Anorí,Antioquia,7.1666667,-75.0833333
12,Anzá,Antioquia,6.3333333,-75.9166667
13,Apartadó,Antioquia,7.8855556,-76.6347222
14,Arboletes,Antioquia,8.5,-76.4166667
15,Argelia,Antioquia,5.7341667,-75.1463889
16,Armenia,Antioquia,6.1666667,-75.8333333
17,Barbosa,Antioquia,6.45,-75.3333333
18,Bello,Antioquia,6.3388889,-75.5622222
19,Belmira,Antioquia,6.6666667,-75.6666667
20,Betania,Antioquia,5.75,-75.9666667
21,Betulia,Antioquia,6.2,-75.9166667
22,Bolívar,Antioquia,5.8333333,-76
23,Briceño,Antioquia,7.1122222,-75.5541667
24,Burítica,Antioquia,6.75,-75.9166667
25,Caicedo,Antioquia,6.45,-75.9666667
26,Caldas,Antioquia,6.0833333,-75.6333333
27,Campamento,Antioquia,7.0833333,-75.25
28,Caracolí,Antioquia,6.4119444,-74.7605556
29,Caramanta,Antioquia,5.5833333,-75.5833333
30,Carepa,Antioquia,7.7663889,-76.6611111
31,Carmen de Viboral,Antioquia,6.085,-75.3386111
32,Carolina,Antioquia,6.8,-75.25
33,Caucasia,Antioquia,7.9166667,-75
34,Cañasgordas,Antioquia,6.75,-76
35,Chigorodó,Antioquia,7.6666667,-76.6666667
36,Cisneros,Antioquia,6.5833333,-75.0833333
37,Cocorná,Antioquia,6,-75
38,Concepción,Antioquia,6.4166667,-75.25
39,Concordia,Antioquia,6.0833333,-75.9166667
40,Copacabana,Antioquia,6.3333333,-75.5
41,Cáceres,Antioquia,7.6666667,-75.3333333
42,Dabeiba,Antioquia,7,-76.25
43,Don Matías,Antioquia,6.5,-75.3333333
44,Ebéjico,Antioquia,6.3333333,-75.75
45,El Bagre,Antioquia,7.5941667,-74.8119444
46,Entrerríos,Antioquia,6.5833333,-75.5833333
47,Envigado,Antioquia,6.1730556,-75.5638889
48,Fredonia,Antioquia,5.9166667,-75.6666667
49,Frontino,Antioquia,6.6666667,-76.3333333
50,Giraldo,Antioquia,6.6666667,-75.9166667
51,Girardota,Antioquia,6.4166667,-75.45
52,Granada,Antioquia,6.1666667,-75.1333333
53,Guadalupe,Antioquia,6.8175,-75.2441667
54,Guarne,Antioquia,6.25,-75.4166667
55,Guatapé,Antioquia,6.25,-75.1666667
56,Gómez Plata,Antioquia,6.75,-75.8333333
57,Heliconia,Antioquia,6.2333333,-75.75
